,delta_z,n_ms_site_0,n_ms_site_1,alpha_d_site_0,alpha_d_site_1,alpha_a,d_dist_site_0,d_dist_site_1,age_ms_range_site_0_lo,age_ms_range_site_0_hi,age_ms_range_site_1_lo,age_ms_range_site_1_hi,b0,sig_s_site_0,sig_s_site_1,alpha_site_0,alpha_site_1,n_hc,sig_b_site_0,sig_b_site_1,age_hc_range_site_0,age_hc_range_site_1,gamma_site_0,gamma_site_1
0,-2.9546904383854953,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
1,-0.27893252918268524,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
2,-0.09707309572003703,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
3,0.49577558173332165,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
4,0.9824443389497551,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
5,1.290801103365837,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
6,3.0107685983233403,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
7,3.010456173278868,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
8,-3.383686827569768,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
9,-3.3228725582364484,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
