,delta_z,n_ms_site_0,n_ms_site_1,alpha_d_site_0,alpha_d_site_1,alpha_a,d_dist_site_0,d_dist_site_1,age_ms_range_site_0_lo,age_ms_range_site_0_hi,age_ms_range_site_1_lo,age_ms_range_site_1_hi,b0,sig_s_site_0,sig_s_site_1,alpha_site_0,alpha_site_1,n_hc,sig_b_site_0,sig_b_site_1,age_hc_range_site_0,age_hc_range_site_1,gamma_site_0,gamma_site_1
0,0.8083278042847936,50.0,50.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
1,0.9946496315765168,100.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
2,1.6797775910808637,250.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
3,1.5607747159990764,500.0,500.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
4,-1.630593662642132,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
5,0.8625229424856065,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
6,1.2622488954817734,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
7,1.9191252130911383,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
8,0.38997409914274445,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
9,1.1614497063543168,250.0,100.0,-16.0,-16.0,-3.0,0.75,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
10,1.881142638010939,250.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
11,2.297847706438234,250.0,100.0,-16.0,-16.0,-3.0,0.25,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
12,1.9420389203318775,250.0,100.0,-16.0,-16.0,-3.0,0.15,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
13,0.45481129667299547,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
